Narrow,,,,,Binary,,,,,Gaussian,,,,,Uniform,,,
d_p (mm),Pressure (MPa),Temperature (C),u_mf (m/s),,d_p,Pressure (MPa),Temperature (C),u_mf (m/s),,d_p,Pressure (MPa),Temperature (C),u_mf (m/s),,d_p,Pressure (MPa),Temperature (C),u_mf (m/s)
0.4,0.1,300,0.087152672,,0.4,0.1,300,0.091854962,,0.4,0.1,300,0.085389313,,0.4,0.1,300,0.088160305
0.4,0.1,500,0.066328244,,0.4,0.1,500,0.078503817,,0.4,0.1,500,0.069351145,,0.4,0.1,500,0.075564885
0.4,0.1,700,0.057175573,,0.4,0.1,700,0.073633588,,0.4,0.1,700,0.059022901,,0.4,0.1,700,0.063977099
0.4,0.1,850,0.052557252,,0.4,0.1,850,0.071030534,,0.4,0.1,850,0.056755725,,0.4,0.1,850,0.062465649
0.4,0.3,300,0.08575969,,0.4,0.3,300,0.09096124,,0.4,0.3,300,0.085077519,,0.4,0.3,300,0.08703876
0.4,0.3,500,0.065550388,,0.4,0.3,500,0.077403101,,0.4,0.3,500,0.06827907,,0.4,0.3,500,0.074674419
0.4,0.3,700,0.05344186,,0.4,0.3,700,0.071604651,,0.4,0.3,700,0.057705426,,0.4,0.3,700,0.062224806
0.4,0.3,850,0.051906977,,0.4,0.3,850,0.070666667,,0.4,0.3,850,0.056511628,,0.4,0.3,850,0.062310078
0.4,0.5,300,0.085457529,,0.4,0.5,300,0.090755799,,0.4,0.5,300,0.084111961,,0.4,0.5,300,0.084196059
0.4,0.5,500,0.064963551,,0.4,0.5,500,0.07614849,,0.4,0.5,500,0.067990983,,0.4,0.5,500,0.074382527
0.4,0.5,700,0.053552062,,0.4,0.5,700,0.069698783,,0.4,0.5,700,0.057588956,,0.4,0.5,700,0.062550548
0.4,0.5,850,0.051132575,,0.4,0.5,850,0.07013882,,0.4,0.5,850,0.056010355,,0.4,0.5,850,0.062233512
0.5,0.1,30,0.276341587,,1.3,0.1,30,0.741497296,,0.5,0.1,30,0.588712708,,1,0.1,30,0.753969666
0.5,0.1,200,0.143887401,,1.3,0.1,200,0.592235437,,0.5,0.1,200,0.476371936,,1,0.1,200,0.594604212
0.5,0.1,300,0.121338653,,1.3,0.1,300,0.532340343,,0.5,0.1,300,0.425352546,,1,0.1,300,0.513837367
0.5,0.1,400,0.093901715,,1.3,0.1,400,0.472416401,,0.5,0.1,400,0.358179352,,1,0.1,400,0.4453572
0.5,0.1,500,0.08838279,,1.3,0.1,500,0.428844922,,0.5,0.1,500,0.339730376,,1,0.1,500,0.366577906
0.5,0.1,600,0.082548499,,1.3,0.1,600,0.399321549,,0.5,0.1,600,0.319389197,,1,0.1,600,0.308969041
1.3,0.1,30,0.870667482,,,,,,,0.5,0.1,30,0.542353743,,,,,
1.3,0.1,200,0.747549659,,,,,,,0.5,0.1,200,0.429767686,,,,,
1.3,0.1,300,0.665046384,,,,,,,0.5,0.1,300,0.388060385,,,,,
1.3,0.1,400,0.556701108,,,,,,,0.5,0.1,400,0.332634616,,,,,
1.3,0.1,500,0.41705874,,,,,,,0.5,0.1,500,0.309455134,,,,,
1.3,0.1,600,0.361313283,,,,,,,0.5,0.1,600,0.288483221,,,,,
1,0.1,30,0.66760154,,,,,,,,,,,,,,,
1,0.1,200,0.454391523,,,,,,,,,,,,,,,
1,0.1,300,0.328272377,,,,,,,,,,,,,,,
1,0.1,400,0.227449335,,,,,,,,,,,,,,,
1,0.1,500,0.148127981,,,,,,,,,,,,,,,
1,0.1,600,0.090669688,,,,,,,,,,,,,,,
